Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
PS,2001,0.1,0.07,0,0.01,Adventure
X360,2011,0.1,0.02,0,0.01,Adventure
PS4,2014,0.09,0.11,0.06,0.04,Action
GBA,2002,0.07,0.03,0,0,Platform
PS3,2010,0.11,0.05,0,0.02,Adventure
PS3,2010,0.52,0.08,0.01,0.08,Platform
X360,2010,0.57,0.38,0.02,0.1,Action
3DS,2015,0,0,0.02,0,Action
PS3,2008,0,0.17,0.09,0.01,Action
PS3,2012,0.12,0.02,0,0.03,Action
2600,,0.26,0.01,0,0,Racing
PSP,2010,0,0,0.01,0,Adventure
PS2,2008,0,0,0.06,0,Action
DS,2011,0,0,0.26,0,Adventure
X360,2011,0.84,0.51,0,0.13,Action
GBA,2002,0.55,0.2,0,0.01,Action
XB,2004,0.06,0.02,0,0,Racing
PS2,2005,1.22,0.05,0,0.01,Racing
WiiU,2011,0.01,0.5,0.7,0.81,Racing
XB,2005,0.01,0,0,0,Action
Wii,,0.17,0.01,0,0.02,Action
PS2,2002,0.03,0.02,0,0.01,Action
PS3,2009,0,0.08,0,0.01,Action
3DS,2016,0,0,0.27,0,Adventure
DS,2007,1.12,0.19,0,0.11,Adventure
XB,2003,0.08,0.02,0,0,Action
PS2,2007,0,0,0.08,0,Action
PS3,2013,0.44,0.36,0,0.16,Action
XB,2005,0.02,0.01,0,0,Platform
X360,2014,0.48,0.33,0,0.08,Action
PS,2001,,0.06,0,0.01,Racing
NES,1983,0.23,0.05,0.84,0.01,Platform
GC,2003,0.01,0,0,0,Racing
PSV,2016,0.03,0,0.02,0.01,Adventure
SNES,2013,0.15,1.38,1.14,0.31,Action
XOne,2016,0.01,0,0,0,Action
X360,2006,0,0,0.01,0,Action
Wii,2009,0.24,0,0,0.02,Racing
TG16,2002,0.21,0.36,0.89,0.4,Racing
PS3,2012,0,0,0.14,0,Action
PSP,2012,0,0,0.03,0,Action
XB,2003,0.08,0.02,0,0,Action
PS2,1990,0.4,0.76,0.48,0.44,Action
DS,2010,0.92,0.73,0,0.17,Platform
TG16,2003,0.39,0.66,0.75,0.18,Adventure
XB,2003,0.41,0.43,0.01,0.05,Platform
PS2,2003,0.16,0.12,0,0.04,Platform
SNES,1993,0,0,0.06,0,Platform
PS3,2010,0,0,0.03,0,Action
PS2,2002,0.41,0.32,0,0.11,Racing
DS,2006,0.43,0.01,0,0.04,Action
PSV,2003,0.59,0.9,0.64,0.05,Racing
PS2,2004,1.27,0.05,0,0.02,Platform
PS2,2002,0.01,0.01,0,0,Racing
GBA,2005,0.05,0.02,0,0,Platform
PS,1995,0,0,0.02,0,Adventure
XB,2004,,0.01,0,0,Racing
PS,1997,0,0,0.17,0.01,Platform
DS,2008,0.38,0,0,0.03,Platform
PSP,2009,0.02,0.04,0,0.01,Action
PC,2003,0,0.01,0,0,Adventure
SNES,1993,0.09,0.02,0.45,0,Platform
3DS,2014,0,0.06,0,0,Action
Wii,2013,1.21,0.75,0,0.19,Platform
X360,2015,0.06,0,0,0.01,Action
PC,2010,0,0.1,0,0.02,Adventure
PS,1996,0.09,0.06,0,0.01,Action
GC,2005,0.07,0.02,0,0,Action
PSP,2010,0.46,0.41,0.96,0.24,Action
GBA,2001,0.05,0.02,0,0,Racing
PS3,2008,0,0,0.04,0,Adventure
PS3,2006,0.24,0.7,0.16,0.26,Racing
PSP,2008,0,0,0.07,0,Adventure
GBA,2003,0.02,0.01,0,0,Action
PS2,2003,0.17,0.13,0.51,0.04,Action
XB,2005,0.21,0.06,0,0.01,Platform
PS2,2002,0.95,0.21,0.01,0.18,Racing
DS,2009,0.07,0.07,0,0.01,Action
3DS,2015,1.15,0.55,0.47,0.17,Action
Wii,2009,0.19,0.2,0,0.05,Action
XOne,2015,0.38,0.22,0,0.06,Action
X360,2008,1.68,0.45,0.01,0.21,Racing
PSP,2010,0,0,0.09,0,Adventure
GBA,2005,0.11,0.04,0,0,Action
3DS,2011,0.16,0.03,0,0.01,Action
X360,2013,1.15,0.56,0,0.17,Action
PS3,2012,0,0.02,0,0.01,Action
PS,1996,1.33,0.4,0.03,0.07,Racing
GC,2004,0.04,0.01,0,0,Adventure
WiiU,2014,0.21,0.21,0,0.04,Action
Wii,2007,0.42,0.02,0,0.04,Platform
PS2,2007,0.27,0.21,0,0.07,Action
SNES,2012,1.75,0.51,0.74,0.28,Action
PS3,2014,0.02,0,0,0.01,Action
GBA,2002,0,0,0.14,0,Action
X360,2014,0.03,0.04,0,0.01,Action
PSV,2013,0.03,0.02,0.05,0.02,Action
PS2,2007,0,0,0.02,0,Adventure
PS2,2005,0,0,0.08,0,Adventure
DS,2006,0.04,0,0,0,Action
XB,2005,0.22,0.06,0,0.01,Action
GBA,2005,0.09,0.03,0,0,Racing
PC,2012,0,0.03,0,0.01,Action
PS,1994,0,0,0.06,0,Racing
Wii,2008,0.06,0.01,0,0.01,Adventure
PS,1999,0.43,0.29,0,0.05,Racing
PSP,2010,0,0,0.72,0,Action
XB,2003,0.07,0.02,0,0,Platform
PS3,2012,0.04,0.13,0,0.04,Adventure
PS2,2008,0,0,0.01,0,Adventure
PS,2000,0,0,0.37,0.03,Adventure
X360,2005,0,0,0.01,0,Action
X360,2013,0.08,0.16,0,0.03,Racing
GEN,1990,1.86,0.55,0.11,0.08,Action
GC,2002,0.08,0.02,0,0,Action
WiiU,2006,0.78,0.75,0.4,0.2,Action
XB,2003,0.01,0,0,0,Action
GC,2003,0.02,0.01,0,0,Racing
Wii,2011,0.64,0.28,0,0.1,Action
SNES,2011,0.76,1.77,1.58,1.99,Adventure
PSP,2006,0.03,0,0,0,Action
GBA,2002,0.08,0.03,0,0,Action
PS4,2008,0.43,0.17,0.23,0.01,Platform
XB,2001,0.18,0.05,0,0.01,Action
XOne,2016,0.04,0.08,0,0.01,Racing
PS2,2004,0.3,0.24,0,0.08,Platform
GBA,2004,0,0,0.08,0,Adventure
PSV,2012,0.21,0.14,0.01,0.09,Action
XOne,2016,0.01,0,0,0,Adventure
DS,2006,0.06,0,0,0,Action
DS,2009,0.38,0.25,0,0.07,Adventure
GC,2005,0.11,0.03,0,0,Action
PSP,2008,0.13,0.1,0,0.06,Racing
DS,2009,0.35,0.08,0,0.04,Racing
GBA,2005,0.13,0.05,0,0,Platform
X360,2013,9.66,5.14,0.06,1.41,Action
DS,2009,0,0,0.04,0,Adventure
PC,2011,0,0.02,0,0,Adventure
PS2,2002,1.92,0.2,0,0.06,Racing
PS2,2006,0,0,0.03,0,Adventure
PS4,2006,0,0.07,0,0.01,Platform
PS,1997,0.38,0.26,0,0.04,Action
PSV,2013,0,0,0.13,0,Action
WiiU,2011,0.49,0.11,0.87,0.44,Racing
XB,2002,0.05,0.02,0,0,Racing
DS,2009,0,0,0.01,0,Adventure
PS2,2005,0.03,0.03,0,0.01,Action
PS3,2013,0.35,0.12,0,0.08,Platform
PS3,2014,0.03,0.03,0,0.01,Adventure
SAT,2004,0.78,0.84,0.61,0.13,Adventure
N64,2000,1.13,0.38,0.02,0.03,Action
3DS,2012,0,0,0.02,0,Action
GBA,2001,0.3,0.11,0,0.01,Platform
PS2,2004,0.17,0.13,0,0.04,Adventure
PS2,2009,0.05,0.02,0,0.08,Action
PC,2008,0,0.02,0,0,Action
PS,1999,0.09,0.06,0,0.01,Platform
SNES,1991,0,0,0.42,0,Action
GBA,2004,0.3,0.11,0,0.01,Platform
2600,1981,0.15,0.01,0,0,Action
PS2,2009,0.08,0.07,0,0.02,Action
DS,2010,0.17,0.12,0,0.03,Adventure
PS,2001,0.05,0.04,0,0.01,Racing
3DS,2012,0.2,0.04,0.21,0.02,Action
DS,2003,0.29,0.01,0.01,0.05,Platform
PSP,2013,0,0,0.02,0,Adventure
Wii,2008,0.04,0,0,0,Platform
Wii,2007,0.34,0.01,0,0.03,Adventure
PS2,2005,0.07,0.06,0,0.02,Racing
PS,1998,0.25,0.17,0,0.03,Action
WiiU,2015,0.22,0.13,0.12,0.04,Platform
PSV,2013,0.11,0.29,0,0.11,Action
PS3,2012,0.48,0.24,0.36,0.1,Action
PS,1995,0.01,0,0,0,Adventure
PS3,2009,3.27,2.2,0.21,0.98,Action
PS3,2013,0.05,0.01,0.04,0.01,Action
PS2,2005,0.12,0.09,0,0.03,Racing
Wii,2010,0.1,0.01,0,0.01,Action
DS,2005,0.05,0,0,0,Adventure
2600,1974,0.19,0.97,0.06,0.69,Racing
PSV,2015,0,0,0.17,0,Action
PS,1999,0.5,0.34,0,0.06,Action
PS2,2005,0.86,0.03,0,0.14,Racing
SNES,2008,1.59,0.66,1.42,0.86,Platform
PS2,1993,0.26,0.18,0.92,0.78,Racing
PSP,2012,0,0,0.02,0,Action
Wii,2008,0.07,0,0,0.01,Adventure
DS,2010,0,0,0.03,0,Adventure
X360,2013,0,0.01,0,0,Action
X360,2009,0.2,0.07,0,0.03,Action
PS2,2005,0.45,0.02,0,0.07,Racing
XOne,2016,0.3,0.2,0.01,0.05,Action
N64,1998,0.49,0.13,0,0.01,Platform
PSP,2011,0,0,0.12,0,Action
PSP,2009,0,0,0.1,0,Adventure
DS,2006,0,0,0.13,0,Action
N64,1997,0.07,0.02,0.23,0.04,Action
PS3,2011,0.22,0.24,0.04,0.08,Adventure
DS,2011,0,0,0.02,0,Adventure
PS3,2006,0,0,0.05,0,Action
PS2,2002,1.17,0.72,0,0.22,Platform
PS2,,0.08,0.06,0,,Platform
PS2,2002,0.02,0.02,0,0.01,Racing
Wii,2001,0.12,0.07,0.12,0.02,Adventure
N64,1998,0.08,0.02,0,0,Action
PS3,2006,0,0,0.12,0,Action
PSP,2009,0.11,0.02,0,0.02,Action
PS2,2008,0.06,0.05,0,0.02,Action
PSV,2013,0.16,0.17,0,0.1,Action
PS3,2009,0.1,0,0,0.01,Racing
Wii,2009,0.17,0,0,0.01,Action
3DS,2013,0,0,0.05,0,Action
PC,2016,0,0.01,0,0,Racing
GBA,2004,0,0,0.41,0.01,Platform
Wii,2011,0.09,0.06,0,0.02,Action
PS4,2015,0.07,0.03,0.02,0.02,Action
NES,1985,0,0,0.51,0,Platform
DS,2007,0,0,0.02,0,Action
XB,2001,0.15,0.04,0,0.01,Racing
PS2,1995,0.54,0.61,0.52,0.13,Adventure
DC,1998,0,0,0.08,0,Action
X360,2011,0,0.05,0,0.01,Racing
DS,2008,0.1,0,0,0.01,Action
DS,2008,,0,0,0,Platform
GBA,2002,0.47,,0,0.01,Action
PS4,2015,0.2,0.7,0.02,0.16,Racing
DS,2008,0,0,0.08,0,Action
GBA,2003,0.52,0.19,0,0.01,Action
X360,2011,0.08,0,0,0.01,Racing
X360,2007,0.07,0,0,0.01,Action
PSP,2011,0,0,0.04,0,Adventure
PC,2016,0,0.11,0,0.01,Adventure
TG16,2004,0.15,0.19,0.23,0.09,Adventure
XB,2003,0.71,0.38,0,0.05,Action
X360,2013,0.09,0.05,0,0.01,Action
SAT,1995,0,0,0.12,0,Racing
X360,2011,2.99,1.27,0.04,0.42,Action
N64,1997,0.39,0.09,0.17,0.06,Action
PC,1999,0,0.01,0,0,Action
PS2,2005,0.06,0.04,0,0.01,Action
DS,2010,0.02,0,0,0,Adventure
GB,1989,10.83,2.71,4.18,0.42,Platform
DS,2011,0.08,0,0,0.01,Action
PS3,2013,0.56,0.41,0.09,0.19,Action
2600,1984,0.26,0.01,0,0,Racing
GBA,2003,0.05,0.02,0,0,Action
GBA,2003,0.06,0.02,0,0,Racing
PS2,2005,0.03,0.03,0.18,0.01,Action
PS3,2016,0,0,0.13,0,Action
PSP,2013,0,0,0.02,0,Adventure
TG16,2001,0.05,0.98,0.8,0.77,Racing
PS2,2008,0,0,0.01,0,Adventure
PSP,2011,0,0,0.01,0,Adventure
3DS,2012,0.2,0.16,0,0.03,Action
X360,2008,0.09,0.01,0,0.01,Action
DS,2009,0,0,0.04,0,Action
DS,2007,0.1,0,0,0.01,Action
DS,2006,0.01,0,0,0,Action
N64,1997,1.29,0.53,0.98,0.05,Platform
GBA,2006,0.06,0.02,0,0,Action
Wii,2009,0.13,0.18,0,0.04,Adventure
PS4,2016,0,0.01,0.01,0,Action
DS,2010,0.17,0.03,0,0.02,Action
DS,2008,0.07,0,0,0.01,Adventure
PS4,2013,1.07,1.31,0.06,0.42,Action
PSV,2013,0,0,0.02,0,Adventure
PS2,2003,1.08,0.45,0,0.14,Platform
GBA,2002,0.19,0.07,0,0,Adventure
PSV,2013,0,0,0.09,0,Action
PS2,2010,0,0,0.02,0,Adventure
PS2,2001,0.17,0.14,0,0.05,Racing
XB,2003,0.05,0.01,0,0,Racing
XOne,2015,0.08,0.15,0,0.02,Racing
2600,1989,0.45,0.02,0,0.01,Action
Wii,2009,0.05,0,0,0,Action
XB,2002,0.18,0.05,0,0.01,Action
PC,1994,0.02,2.79,0,0,Adventure
GEN,1993,0,0,0.07,0,Adventure
N64,1999,0,0,0.06,0,Adventure
Wii,2008,0.08,0,0,0.01,Action
Wii,2010,0.84,0.7,0.13,0.16,Action
PS3,2009,0,0.05,0,0.01,Racing
PS4,2014,0.13,0.38,0,0.09,Action
Wii,2010,0,0.16,0,0.02,Adventure
PC,2004,0,0.03,0,0.01,Racing
PS4,2016,0,0,0.02,0,Action
PC,2014,0,0.02,0,0,Racing
PS2,2005,0.04,0.03,0,0.01,Action
PS,1997,0.06,0.04,0.23,0.02,Racing
PS2,2009,0.21,0.16,0,0.05,Action
PS3,2009,0.11,0.15,0,0.06,Action
PS,2001,0.1,0.07,0,0.01,Action
PS3,2008,0.31,0.56,0.03,0.2,Racing
PS2,2003,0.35,0.27,0.21,0.09,Racing
PC,2011,0,0.07,0,0.01,Adventure
SAT,1996,0,0,0.11,0,Racing
PS4,2016,0.01,0.02,0.01,0,Action
PS3,2013,0.02,0.01,0,0.01,Action
PS2,2006,0.39,0.02,0,0.06,Action
WiiU,2006,0.98,0.93,0.64,0.4,Racing
PSP,2008,0.23,0.31,0.03,0.19,Racing
X360,2005,0.1,0.02,0.07,0.01,Racing
PS3,2007,0.37,0.01,0,0.03,Racing
Wii,2010,0.92,0.6,0.01,0.15,Platform
PS4,2015,0.03,0.05,0,0.02,Action
3DS,2011,0,0,0.06,0,Action
DS,2008,0.05,0,0,0,Platform
GBA,,0.02,0.01,0,0,Action
X360,2010,0.63,0.2,0.02,0.07,Action
PS2,2002,0.35,0.27,0,0.09,Racing
PS2,2005,0.41,0.01,0,0.07,Action
N64,1998,0.27,0.06,0.08,0.05,Platform
PSP,2005,0.35,0.21,0,0.14,Action
XB,2004,0.03,0.01,0,0,Adventure
PS4,2014,0.24,0.31,0.01,0.11,Action
SNES,2014,1.35,0.61,1.02,0.17,Adventure
DS,2009,0.1,0,0,0.01,Adventure
PS2,2010,0,0,0.03,0,Adventure
Wii,2012,0,0.02,0,0,Action
PS4,2016,0.01,0.05,0,0.01,Adventure
XB,2002,0.11,0.03,0,0.01,Adventure
Wii,2010,0.14,0,0,0.01,Action
PSV,2015,0,0,0.02,0,Adventure
PSP,2011,0,0,0.02,0,Adventure
GC,2005,0.14,,0,0,Adventure
X360,2012,0.82,0.93,0.04,0.18,Racing
PS2,1995,0.67,0.29,0.23,0.78,Racing
DS,2007,0.05,0,0,0,Action
PS2,2006,0,0,0.08,0,Action
GBA,2003,0.25,0.09,0,0.01,Action
Wii,2008,0.52,0.21,0,0.07,Action
GBA,2001,1.29,0.83,0,0.11,Platform
PS3,2012,0,0,0.26,0,Action
Wii,2008,0.08,0,0,0.01,Action
DS,2010,0.01,0,0,0,Action
Wii,2011,0.07,0.05,0,0.01,Action
X360,2007,0.48,0.03,0,0.05,Action
PSV,2012,0.16,0.11,0,0.06,Action
DS,2004,0.41,0.02,0.03,0.04,Action
PS2,2003,0.08,0.07,0,0.02,Action
PS2,2010,0,0,0.02,0,Adventure
PC,2007,0,0.02,0,0,Action
XB,2002,1.54,0.44,0.04,0.07,Action
PS3,2014,0,0,0.27,0,Action
DS,2008,0.1,0,0,0.01,Action
3DS,2016,0.28,0.14,0.47,0.04,Action
N64,1989,0.75,0.59,0.98,0.1,Platform
PS2,2004,0.04,0.03,0,0.01,Action
XB,2005,0.1,0.03,0,0,Platform
N64,1996,0.4,0.9,0.99,0.59,Platform
GC,2005,0.05,0.01,0,0,Platform
Wii,2011,0.21,0.27,0,0.06,Platform
PS2,2004,0.25,0.19,0,0.06,Action
PS3,2010,0.51,0.4,0,0.16,Action
DS,2006,0.39,0,0.53,0.03,Action
PC,2008,0,0.02,0,0,Action
PS3,2012,0,0,0.04,0,Platform
XOne,2016,0,0.01,0,0,Action
Wii,2008,0,0,0.02,0,Action
PS2,1991,0.29,0.4,0.4,0.96,Platform
Wii,2008,0.45,0,0,0.03,Adventure
PS2,2004,0.22,0.17,0,0.06,Action
PS2,2008,0.12,0,0,0.26,Action
PS4,2015,0.02,0.05,0.04,0.01,Action
PS2,2003,0.31,0.24,0,0.08,Platform
PS2,2002,0.18,0.14,0.16,0.05,Action
PSP,2008,0.08,0,0,0.01,Racing
PS2,2008,0,0,0.01,0,Platform
PS,1998,0.06,0.04,0,0.01,Action
PSP,2006,0.08,0,0,0.01,Action
PS3,2011,0.12,0.74,0.11,0.24,Racing
PS2,,0.08,0.07,0,0.02,Action
GBA,2003,0.03,0.01,0,0,Platform
GC,2002,0.04,0.01,0,0,Racing
Wii,2010,0.15,0.19,0,0.04,Action
PS2,2003,0,0,0.04,0,Action
PS,1999,0.23,0.16,0,0.03,Action
PSP,2009,0.18,0.2,0,0.12,Action
XB,2003,0.07,0.02,0,0,Action
SNES,1993,0,0,0.46,0,Platform
DS,2007,0.49,0.62,0,0.14,Action
SAT,2003,0.6,0.27,0.33,0.76,Adventure
N64,2000,0.17,0.04,0,0,Racing
SNES,1991,0,0,0.28,0,Action
WiiU,2015,0.03,0.02,0,0,Action
XB,2005,0.68,0.38,0,0.05,Action
2600,1981,0.22,0.01,0,0,Action
DS,2008,0.02,0,0,0,Action
X360,2011,0.13,0.04,0,0.01,Action
SNES,1991,0.5,0.14,0.52,0.02,Platform
PS3,2013,1.07,0.8,0.04,0.38,Action
DS,2009,0.05,0,0.02,0,Racing
GBA,2005,0.12,0.05,0,0,Platform
3DS,2014,0.08,0.04,0,0.01,Adventure
PC,2013,0.22,0.38,0,0.05,Action
XB,2004,0.04,0.01,0,0,Racing
Wii,2010,1.42,0.09,0.45,0.1,Platform
N64,2000,1.55,0.75,0.16,0.06,Action
2600,1981,0.9,0.05,0,0.01,Platform
Wii,2007,0.16,0,0,0.01,Action
PS3,2012,2.64,2.52,0.16,1.12,Action
PS3,2015,0.17,0.3,0,0.09,Action
Wii,2009,0.38,0,0,0.03,Adventure
WiiU,2016,0.56,0.3,0.08,0.09,Action
PS,1998,1.15,1.14,0.06,0.13,Action
PS3,2013,0.26,0.19,0.07,0.09,Action
PS3,2011,0.05,0,0,0.01,Racing
3DS,2015,0,0,0.01,0,Action
DS,2008,0.66,0,0,0.06,Adventure
X360,2013,0.12,0.08,0,0.02,Action
2600,1983,0.15,0.01,0,0,Action
DS,2008,0.04,0,0,0,Adventure
Wii,2010,0.07,0,0,0,Action
PSP,2012,0,0,0.09,0,Adventure
GBA,2002,0.07,0.02,0,0,Action
X360,2012,1.05,0.52,0.03,0.14,Action
X360,2011,0,0.05,0,0.01,Adventure
PS3,2011,0.1,0.06,0,0.03,Action
GC,2005,0.52,0.13,0,0.02,Platform
X360,2009,0.18,0.17,0,0.04,Action
Wii,2008,0.06,0,0,0,Racing
PS3,2012,0,0,0.02,0,Action
PSP,2008,0.09,0,0,0.01,Adventure
PS,1998,0.03,0.02,0.04,0.01,Action
PS3,2014,0.12,0.27,0,0.07,Action
GC,2002,0.06,0.02,0,,Racing
X360,2006,0.21,0.02,0,0.02,Action
PS2,2005,0.53,0.02,0,0.09,Racing
PS2,2008,0.02,0.02,0,0.01,Action
X360,2010,0.66,0.5,0.05,0.13,Action
GB,2000,1.11,0.51,0.34,0.23,Platform
PSP,2012,0,0,0.05,0,Action
Wii,2010,0.08,0,0,0,Adventure
PC,2012,0,0.06,0,0.02,Racing
XOne,2016,0.09,0.03,0,0.01,Adventure
GC,2003,0.22,0.06,0,0.01,Racing
GBA,2002,0.2,0.07,0,0.01,Platform
3DS,2012,0.13,0.02,0,0.02,Action
PS2,2003,0.85,0.66,0,0.22,Action
PC,2007,0.01,0,0,0,Action
NES,1986,0,0,1.15,0,Action
DS,2008,0,0,0.02,0,Adventure
PSP,2015,0,0,0.02,0,Action
PSV,2015,0.02,0.01,0.05,0.01,Action
N64,1990,0.71,0.66,0.28,0.87,Platform
PSV,2015,0,0,0.02,0,Action
GC,2002,0.34,0.09,0,0.01,Adventure
SNES,1991,0.32,0.05,0.25,0.01,Platform
XB,2004,0.07,0.02,0,0,Racing
GC,2003,0.06,0.02,0,0,Action
PSV,2013,0,0,0.07,0,Adventure
PSV,2004,0.09,0.02,0.55,0.67,Action
GC,2006,0.12,0.03,0,0,Platform
PSV,2010,0.85,0.8,0.97,0.77,Adventure
DS,2010,0,0,0.02,0,Action
Wii,2014,0.41,0.46,0,0.08,Action
XB,2004,0.09,0.03,0,0,Adventure
PS,1998,0.32,0.22,0,0.04,Platform
GBA,2002,0.02,0.01,0,0,Action
DS,2009,0.09,0,0,0.01,Action
N64,1997,0.06,0.01,0,0,Racing
PS2,2007,0.13,0.1,0,0.03,Racing
PS,1997,0.04,0.02,0,0,Racing
PS2,2000,0.06,0.05,0.03,0.02,Racing
PS2,1988,0.15,0.36,0.22,0.13,Racing
PSP,2010,0,0,0.02,0,Adventure
X360,2007,0.26,0,0,0.02,Racing
3DS,2013,0.03,0,0,0,Action
XOne,2014,0.08,0.05,0,0.01,Adventure
PSP,2009,0.22,0.24,0,0.14,Action
GBA,2001,0.14,0.05,0,0,Action
NES,1986,1.33,0.31,1.04,0.05,Action
PS2,2004,0.26,0.21,0,0.07,Racing
PS3,2010,0.25,0.75,0.08,0.26,Racing
DS,2009,0.1,0,0,0.01,Adventure
NES,1984,0,0,0.69,,Platform
DS,2009,0.24,0.11,0,0.04,Adventure
3DS,2013,0.24,0.14,0.07,0.03,Platform
3DS,2015,0,0,0.87,0,Action
XOne,2016,0.02,0,0,0,Platform
PSP,2007,0.23,0.01,0,0.02,Action
GBA,2006,0.06,0.02,0,0,Adventure
GC,2003,0.1,0.03,0,0,Action
PS4,2014,0.22,0.3,0.04,0.1,Action
PSV,2015,0,0,0.01,0,Action
PS2,2008,0,0,0.4,0,Action
PS3,2010,0.31,0.3,0.01,0.11,Racing
PS3,2010,0.18,0.18,0,0.07,Action
PSP,2013,0.14,0.31,0.03,-0.21,Action
XB,2004,0.18,0.08,0,0.01,Racing
N64,1992,0.75,0.54,0.75,0.82,Racing
PS3,2016,0,0,0.01,0,Action
GBA,2003,0.88,0.33,0,0.02,Platform
X360,2013,0.97,0.34,0,0.13,Action
PS,,0.05,0.03,0,0.01,Action
PS4,2016,0,0,0.03,0,Action
PSP,2006,0.11,0.01,0,0.01,Action
PS3,2010,0.06,0.09,0.01,0.03,Action
XB,2005,0.21,0.06,0,0.01,Action
PS2,2002,0.03,0.03,0,0.01,Adventure
PS4,2016,0.11,0.16,0.02,0.05,Platform
X360,2016,0.05,,0,0.01,Action
PS2,2005,0.78,0.03,0.2,0.13,Action
PS3,2007,0.38,0.36,0,0.15,Action
3DS,2015,0.05,0,0,0.01,Adventure
PSP,2012,0,0,0.05,0,Adventure
PSV,2014,0,0,0.03,0,Adventure
PS,2000,0.03,0.02,0,0,Action
PS2,2003,1.15,1.11,0,0.4,Action
N64,1994,0.24,0.85,0.26,0.03,Adventure
PSP,2008,0.33,0.22,0,0,Platform
PS,2002,0,0,0.06,0,Adventure
PS2,2005,0.11,0.09,0,0.03,Action
DS,2007,1.49,0,0,0.11,Action
Wii,2011,0.43,0.37,0,0.09,Racing
GC,2005,0.02,0.01,0,0,Platform
PS3,2007,0.93,1.1,0.08,0.45,Platform
DC,1999,0,0,0.17,0,Racing
PS,2001,0.03,0.02,0,0,Racing
GBA,2003,0.1,0.04,0,0,Racing
PS2,1989,0.3,0.43,0.64,0.09,Adventure
SNES,1995,0,0,0.31,0,Platform
X360,2008,0.46,0.2,0.01,0.07,Action
PS3,2009,2.54,1.93,0.21,0.86,Action
PSP,2008,0,0,0.01,0,Adventure
3DS,2015,0.27,0.21,2.79,0.05,Action
PSP,2011,0,0,0.15,0,Adventure
XB,2005,0.01,0,0,0,Adventure
DS,2013,0.21,0.26,0,0.04,Platform
GEN,1992,4.47,1.2,0.16,0.19,Platform
GBA,2006,0.19,0.07,0,0,Platform
X360,2009,0.11,0.05,0,0.01,Action
PS,1999,0.03,0.02,0,0,Adventure
PSP,2006,0.08,0.01,0,0.01,Action
PS2,2001,2.02,1.17,0,0.42,Racing
XOne,2016,0.01,0,0,0,Action
PS3,2012,0.05,0.14,0,0.04,Adventure
GBA,,0,0,0.06,0,Action
N64,2001,0.53,0.22,0,0.02,Platform
GBA,2004,0.1,0.04,0.11,0.01,Action
2600,1972,0.55,0.32,0.98,0.05,Adventure
GC,2002,0.05,0.01,0,0,Racing
DC,2000,1.1,0.51,0.12,0.08,Racing
PS3,2009,,0.21,0.01,0.1,Action
XOne,2016,0.09,0.06,0,0.01,Platform
DS,2009,0.15,0.22,0,0.05,Adventure
PSV,2016,0.01,0.04,0.01,0.01,Action
GC,2003,0.06,0.01,0,0,Adventure
GBA,2002,0.05,0.02,0,0,Platform
PS2,2007,0,0,0.33,0,Action
XB,2003,0.01,0,0,0,Racing
PS4,2016,0.06,0,0,0.01,Action
PS4,2016,0.04,0,0,0.01,Racing
PC,2013,0,0.04,0,0,Action
PC,2011,0.03,0.01,0,0,Action
PS4,2010,0.21,0.14,0.16,0.05,Action
PSP,2011,0,0,0.04,0,Adventure
Wii,2010,0.14,0.03,0,0.01,Racing
PS3,2015,0,0,0.01,0,Action
SAT,2003,0.13,1,0.51,0.67,Racing
PS4,2014,0.04,0.05,0.04,0.02,Action
GBA,2001,0.03,0.01,0,0,Action
WiiU,2015,0.06,0.01,0,0.01,Action
PS2,2002,0.08,0.06,0,0.02,Adventure
PS3,2010,0,0.05,0,0.02,Platform
PS2,1992,0.47,0.8,0.09,0.5,Platform
PS2,2008,0,0,0.02,0,Adventure
PS4,2014,1.19,2.07,0.08,0.62,Action
WiiU,2010,0.2,0.33,0.2,0.58,Action
PS2,2003,0.03,0.02,0,0.01,Racing
GBA,2003,0.4,0.15,0,0.01,Action
PS2,2002,0.03,0.02,0,0.01,Adventure
PS2,2002,0,0,0.02,0,Adventure
X360,2012,0.64,0.49,0,0.11,Action
PS,1996,0.07,0.05,0.38,0.03,Adventure
3DS,2013,0.05,0.04,0,0.01,Platform
PS3,,0.15,0.13,0.63,0.05,Action
3DS,2012,0,0,0.06,0,Action
PS,2001,0.24,0.17,0,0.03,Action
PSP,2009,-0.42,0.31,0.05,0.01,Adventure
PS3,2014,0.03,0.06,0,0.02,Adventure
X360,2008,0.54,0.32,0,0.09,Platform
GC,2002,0.24,0.06,0,0.01,Racing
X360,2011,0.19,0.11,0,0.03,Action
2600,,0.42,0.02,0,0,Action
DS,2008,0,0,0.1,0,Adventure
DS,2008,0,0,0.09,0,Platform
X360,2006,0.29,0.06,0.01,0.03,Action
PS2,2009,0.04,0.03,0,0.01,Racing
PSP,2012,0,0,0.02,0,Action
PSV,2015,0,0,0.02,0,Adventure
PS,1995,0,0,0.13,0.01,Action
DS,2008,0.24,0,0,0.02,Adventure
N64,1992,0.54,0.07,0.59,0.76,Racing
PSP,2007,0.25,0.24,0,0.14,Action
PS4,2014,0.55,0.86,0.11,0.27,Action
Wii,2011,0.19,0.01,0,0.01,Action
Wii,2009,0.09,0.02,0.32,0.01,Action
PC,2007,0.02,0,0,0,Platform
