godine,bracni_status,rasa,tip_posla,zdravstveno_osiguranje,plata,obrazovanje
42.0,u braku,bela,industrijski,ne,40443.0,master
33.0,udovci,druga,informacioni,ne,42145.0,osnovne studije
41.0,sami,azijska,informacioni,da,34448.0,osnovne studije
49.0,u braku,bela,industrijski,da,68143.0,osnovne studije
27.0,u braku,druga,informacioni,ne,71832.0,master
38.0,sami,bela,industrijski,da,51389.0,osnovne studije
,udovci,crna,industrijski,da,,osnovne studije
47.0,sami,crna,industrijski,da,86744.0,osnovne studije
51.0,sami,,industrijski,ne,47801.0,osnovne studije
44.0,u braku,bela,industrijski,da,53486.0,osnovne studije
,u braku,crna,industrijski,da,50054.0,osnovne studije
47.0,sami,azijska,informacioni,da,70745.0,osnovne studije
43.0,u braku,bela,industrijski,da,43196.0,master
50.0,u braku,bela,informacioni,,59732.0,osnovne studije
38.0,u braku,azijska,informacioni,da,93778.0,master
42.0,u braku,bela,industrijski,da,45880.0,osnovne studije
32.0,u braku,bela,informacioni,da,38418.0,osnovne studije
28.0,u braku,,informacioni,da,45431.0,osnovne studije
35.0,u braku,bela,industrijski,da,51624.0,osnovne studije
31.0,sami,bela,industrijski,da,41155.0,osnovne studije
23.0,u braku,bela,industrijski,da,74378.0,osnovne studije
33.0,u braku,druga,informacioni,da,44809.0,osnovne studije
37.0,sami,bela,industrijski,ne,89040.0,osnovne studije
33.0,u braku,crna,industrijski,da,36811.0,master
50.0,u braku,druga,informacioni,da,59033.0,osnovne studije
27.0,u braku,bela,industrijski,ne,38544.0,master
,u braku,crna,industrijski,ne,37727.0,osnovne studije
38.0,u braku,bela,informacioni,ne,,osnovne studije
,u braku,bela,industrijski,da,39065.0,doktorat
35.0,sami,bela,informacioni,ne,74664.0,doktorat
41.0,u braku,crna,informacioni,da,103868.0,osnovne studije
50.0,u braku,bela,informacioni,da,61052.0,osnovne studije
58.0,u braku,crna,industrijski,da,40822.0,doktorat
61.0,u braku,bela,informacioni,da,33518.0,osnovne studije
,u braku,crna,informacioni,da,70515.0,osnovne studije
33.0,,bela,industrijski,ne,44006.0,osnovne studije
34.0,u braku,druga,informacioni,da,25962.0,osnovne studije
33.0,sami,bela,industrijski,da,33820.0,osnovne studije
44.0,u braku,bela,industrijski,da,56900.0,master
43.0,u braku,bela,informacioni,da,33073.0,doktorat
33.0,sami,bela,informacioni,ne,57392.0,doktorat
25.0,u braku,bela,,da,49132.0,master
30.0,u braku,crna,informacioni,da,73352.0,osnovne studije
45.0,u braku,,informacioni,da,57985.0,master
56.0,udovci,crna,industrijski,da,68901.0,osnovne studije
36.0,u braku,bela,industrijski,da,49697.0,osnovne studije
25.0,sami,azijska,informacioni,,38825.0,osnovne studije
39.0,u braku,crna,informacioni,ne,105794.0,osnovne studije
34.0,sami,druga,informacioni,da,51384.0,osnovne studije
28.0,u braku,bela,informacioni,ne,62638.0,
37.0,udovci,crna,industrijski,da,56538.0,doktorat
39.0,sami,crna,informacioni,ne,30903.0,osnovne studije
30.0,udovci,bela,industrijski,da,48387.0,master
,u braku,bela,informacioni,da,57049.0,osnovne studije
43.0,u braku,bela,industrijski,da,51858.0,osnovne studije
44.0,sami,bela,informacioni,da,85188.0,osnovne studije
45.0,udovci,bela,informacioni,da,50690.0,osnovne studije
44.0,u braku,bela,informacioni,da,51408.0,osnovne studije
42.0,sami,crna,informacioni,da,67469.0,osnovne studije
28.0,u braku,druga,industrijski,da,,osnovne studije
62.0,sami,azijska,informacioni,da,56779.0,osnovne studije
43.0,sami,bela,industrijski,da,33926.0,osnovne studije
,udovci,bela,,da,53315.0,osnovne studije
57.0,u braku,bela,informacioni,da,52075.0,master
43.0,u braku,bela,,da,26446.0,master
44.0,u braku,azijska,informacioni,ne,96712.0,osnovne studije
55.0,sami,bela,industrijski,da,38835.0,osnovne studije
37.0,sami,bela,industrijski,da,35078.0,master
31.0,udovci,bela,industrijski,da,,master
16.0,u braku,crna,industrijski,da,33403.0,srednja skola
42.0,u braku,druga,industrijski,da,68778.0,osnovne studije
38.0,u braku,bela,industrijski,da,38871.0,osnovne studije
42.0,sami,azijska,industrijski,ne,40959.0,osnovne studije
36.0,u braku,bela,industrijski,,54004.0,doktorat
36.0,u braku,crna,industrijski,da,44033.0,osnovne studije
36.0,sami,,industrijski,da,55167.0,osnovne studije
50.0,u braku,bela,industrijski,da,61971.0,osnovne studije
62.0,u braku,bela,,da,31949.0,osnovne studije
45.0,u braku,crna,industrijski,da,38636.0,osnovne studije
36.0,u braku,bela,informacioni,da,51150.0,master
32.0,,druga,industrijski,ne,38304.0,osnovne studije
24.0,u braku,bela,industrijski,,91900.0,master
29.0,u braku,bela,industrijski,da,61978.0,master
55.0,u braku,druga,industrijski,ne,41970.0,osnovne studije
28.0,udovci,bela,industrijski,ne,68934.0,master
21.0,sami,crna,,da,51957.0,osnovne studije
50.0,u braku,bela,industrijski,da,68597.0,osnovne studije
38.0,sami,bela,informacioni,da,69476.0,osnovne studije
45.0,u braku,bela,informacioni,da,72451.0,master
36.0,u braku,bela,industrijski,da,52846.0,osnovne studije
31.0,u braku,bela,informacioni,da,,master
34.0,u braku,bela,industrijski,da,68115.0,doktorat
47.0,udovci,bela,industrijski,da,89076.0,osnovne studije
35.0,u braku,,informacioni,da,63805.0,master
27.0,udovci,bela,informacioni,ne,43969.0,master
46.0,u braku,bela,informacioni,da,47227.0,osnovne studije
31.0,u braku,bela,industrijski,da,69532.0,master
43.0,udovci,bela,informacioni,ne,39622.0,osnovne studije
46.0,u braku,bela,industrijski,da,78361.0,osnovne studije
47.0,sami,crna,informacioni,da,67987.0,master
56.0,u braku,bela,industrijski,da,44851.0,osnovne studije
26.0,sami,azijska,industrijski,da,39201.0,osnovne studije
46.0,u braku,bela,informacioni,da,54234.0,master
40.0,u braku,bela,informacioni,da,61865.0,master
,u braku,druga,industrijski,,37235.0,osnovne studije
34.0,sami,bela,industrijski,da,55044.0,osnovne studije
46.0,udovci,crna,informacioni,ne,29246.0,osnovne studije
52.0,,bela,industrijski,da,52053.0,osnovne studije
33.0,sami,bela,informacioni,da,71264.0,master
47.0,sami,bela,industrijski,da,51038.0,osnovne studije
39.0,u braku,,informacioni,da,69801.0,osnovne studije
31.0,u braku,bela,industrijski,,46477.0,osnovne studije
44.0,sami,bela,informacioni,da,,osnovne studije
30.0,u braku,bela,industrijski,da,49673.0,osnovne studije
35.0,udovci,bela,industrijski,da,31351.0,osnovne studije
36.0,u braku,crna,,da,50926.0,master
25.0,sami,bela,informacioni,,38800.0,master
33.0,udovci,bela,informacioni,ne,48516.0,master
30.0,udovci,azijska,industrijski,da,63702.0,master
64.0,sami,druga,informacioni,da,60819.0,osnovne studije
,udovci,bela,informacioni,da,28591.0,
42.0,u braku,druga,industrijski,da,58770.0,osnovne studije
31.0,u braku,crna,industrijski,da,40487.0,osnovne studije
40.0,,azijska,industrijski,da,65784.0,osnovne studije
22.0,sami,crna,industrijski,ne,36782.0,osnovne studije
50.0,udovci,bela,industrijski,ne,39304.0,master
39.0,u braku,azijska,industrijski,da,37339.0,osnovne studije
45.0,sami,bela,informacioni,ne,41877.0,osnovne studije
47.0,sami,azijska,informacioni,da,51420.0,osnovne studije
41.0,udovci,azijska,informacioni,da,81318.0,doktorat
50.0,sami,crna,industrijski,ne,64585.0,master
46.0,u braku,crna,,da,49245.0,osnovne studije
,u braku,crna,informacioni,ne,53529.0,osnovne studije
42.0,sami,druga,industrijski,da,40070.0,osnovne studije
22.0,u braku,azijska,informacioni,da,51088.0,master
29.0,u braku,bela,industrijski,da,45452.0,osnovne studije
37.0,sami,bela,industrijski,da,35481.0,osnovne studije
23.0,u braku,,informacioni,da,90160.0,osnovne studije
28.0,sami,bela,industrijski,ne,39218.0,master
,u braku,druga,industrijski,ne,56542.0,osnovne studije
59.0,u braku,bela,industrijski,da,30564.0,master
39.0,u braku,bela,informacioni,da,65217.0,osnovne studije
56.0,u braku,crna,informacioni,da,107087.0,master
63.0,,crna,informacioni,da,45024.0,osnovne studije
30.0,u braku,bela,informacioni,da,79011.0,osnovne studije
45.0,sami,bela,informacioni,da,26576.0,doktorat
43.0,u braku,crna,industrijski,da,54116.0,master
35.0,u braku,bela,informacioni,da,77807.0,master
42.0,sami,crna,industrijski,da,34831.0,doktorat
41.0,udovci,bela,industrijski,ne,29660.0,osnovne studije
54.0,u braku,crna,industrijski,ne,36967.0,osnovne studije
39.0,u braku,bela,industrijski,,48314.0,osnovne studije
30.0,u braku,bela,informacioni,da,71347.0,osnovne studije
63.0,u braku,bela,industrijski,,112237.0,osnovne studije
30.0,u braku,bela,informacioni,da,46137.0,osnovne studije
16.0,sami,bela,informacioni,,,srednja skola
44.0,sami,druga,informacioni,,41077.0,osnovne studije
24.0,u braku,bela,informacioni,,67977.0,master
34.0,sami,bela,,ne,,doktorat
36.0,u braku,bela,informacioni,da,39151.0,osnovne studije
47.0,u braku,druga,industrijski,da,111890.0,osnovne studije
44.0,u braku,druga,informacioni,da,114536.0,osnovne studije
52.0,u braku,crna,informacioni,da,68525.0,master
48.0,u braku,bela,informacioni,,48006.0,osnovne studije
37.0,sami,bela,informacioni,,48875.0,
42.0,u braku,crna,informacioni,ne,36425.0,osnovne studije
29.0,u braku,,informacioni,da,44603.0,master
35.0,,druga,informacioni,da,42200.0,osnovne studije
37.0,sami,azijska,informacioni,da,55156.0,osnovne studije
54.0,udovci,,informacioni,ne,,master
30.0,udovci,azijska,industrijski,da,42942.0,osnovne studije
42.0,u braku,crna,informacioni,da,54408.0,osnovne studije
32.0,u braku,bela,informacioni,ne,49298.0,osnovne studije
43.0,,bela,informacioni,da,79344.0,
32.0,sami,crna,informacioni,da,47132.0,master
52.0,u braku,crna,industrijski,ne,82149.0,osnovne studije
,u braku,crna,industrijski,da,81082.0,osnovne studije
51.0,u braku,azijska,industrijski,da,38836.0,osnovne studije
38.0,u braku,bela,industrijski,da,88368.0,osnovne studije
48.0,u braku,bela,informacioni,da,82190.0,osnovne studije
43.0,udovci,crna,informacioni,,57435.0,osnovne studije
16.0,u braku,azijska,industrijski,da,55595.0,osnovne studije
34.0,sami,crna,informacioni,da,35843.0,master
52.0,u braku,druga,industrijski,da,31264.0,doktorat
47.0,,crna,informacioni,da,77920.0,master
42.0,u braku,crna,informacioni,da,37332.0,doktorat
53.0,u braku,crna,industrijski,da,58404.0,osnovne studije
33.0,u braku,bela,informacioni,da,61735.0,master
32.0,sami,crna,,da,32221.0,osnovne studije
43.0,u braku,bela,industrijski,da,54090.0,osnovne studije
26.0,u braku,crna,industrijski,da,37531.0,master
38.0,u braku,azijska,industrijski,da,46971.0,osnovne studije
57.0,u braku,bela,informacioni,ne,58941.0,master
37.0,u braku,bela,industrijski,ne,54936.0,master
44.0,u braku,bela,industrijski,da,39156.0,osnovne studije
26.0,u braku,crna,industrijski,da,35098.0,osnovne studije
38.0,u braku,bela,informacioni,da,92545.0,osnovne studije
48.0,u braku,bela,informacioni,da,44710.0,osnovne studije
32.0,udovci,crna,industrijski,ne,89302.0,doktorat
29.0,sami,bela,industrijski,da,41441.0,doktorat
49.0,u braku,bela,,da,41190.0,osnovne studije
53.0,u braku,bela,,,54382.0,master
28.0,udovci,crna,informacioni,da,39801.0,osnovne studije
37.0,u braku,bela,industrijski,ne,26276.0,master
45.0,sami,bela,informacioni,ne,29016.0,osnovne studije
52.0,sami,crna,informacioni,da,,osnovne studije
33.0,u braku,bela,industrijski,da,52911.0,osnovne studije
32.0,u braku,bela,informacioni,ne,39194.0,osnovne studije
52.0,u braku,bela,industrijski,da,46919.0,
45.0,sami,bela,industrijski,da,48711.0,master
48.0,u braku,crna,industrijski,ne,28743.0,osnovne studije
38.0,u braku,bela,industrijski,da,90034.0,osnovne studije
45.0,u braku,bela,industrijski,da,64399.0,osnovne studije
42.0,u braku,druga,informacioni,da,80064.0,master
40.0,sami,bela,informacioni,da,43232.0,osnovne studije
53.0,sami,druga,informacioni,ne,40020.0,master
24.0,sami,crna,industrijski,da,,osnovne studije
39.0,sami,bela,industrijski,da,45547.0,master
36.0,u braku,,industrijski,da,30916.0,doktorat
39.0,u braku,crna,industrijski,da,32901.0,master
55.0,udovci,bela,industrijski,,39541.0,master
46.0,u braku,bela,informacioni,da,70065.0,osnovne studije
32.0,sami,bela,industrijski,da,49975.0,osnovne studije
40.0,u braku,crna,industrijski,ne,60836.0,osnovne studije
35.0,u braku,crna,informacioni,ne,75089.0,master
,u braku,crna,,da,87137.0,master
55.0,sami,bela,industrijski,da,90797.0,osnovne studije
,sami,druga,informacioni,da,33349.0,osnovne studije
42.0,sami,bela,informacioni,da,54495.0,osnovne studije
40.0,udovci,bela,industrijski,da,45380.0,osnovne studije
34.0,u braku,,informacioni,ne,67930.0,
32.0,u braku,bela,,da,,master
43.0,u braku,,informacioni,da,66509.0,master
66.0,u braku,bela,industrijski,da,33692.0,master
57.0,u braku,crna,industrijski,da,99788.0,
50.0,sami,bela,industrijski,da,42769.0,osnovne studije
24.0,u braku,bela,informacioni,ne,50816.0,master
53.0,u braku,bela,industrijski,da,43769.0,osnovne studije
52.0,u braku,bela,informacioni,ne,79938.0,osnovne studije
33.0,u braku,azijska,informacioni,da,51111.0,osnovne studije
38.0,u braku,crna,informacioni,da,52813.0,master
50.0,sami,bela,industrijski,da,52912.0,osnovne studije
49.0,udovci,bela,informacioni,ne,41025.0,master
49.0,udovci,druga,industrijski,da,40735.0,osnovne studije
44.0,udovci,bela,informacioni,da,96268.0,osnovne studije
35.0,sami,bela,informacioni,ne,61702.0,osnovne studije
37.0,sami,crna,informacioni,da,68513.0,master
44.0,u braku,bela,industrijski,ne,52148.0,master
37.0,sami,bela,industrijski,da,67897.0,master
45.0,u braku,bela,informacioni,ne,73989.0,master
48.0,u braku,bela,informacioni,ne,73989.0,master
47.0,udovci,bela,industrijski,da,94004.0,master
54.0,sami,,industrijski,,78168.0,osnovne studije
42.0,u braku,bela,industrijski,da,49732.0,master
35.0,sami,bela,informacioni,da,31754.0,master
46.0,u braku,bela,industrijski,da,44249.0,doktorat
39.0,u braku,bela,industrijski,ne,37420.0,osnovne studije
35.0,sami,azijska,industrijski,da,61179.0,master
39.0,u braku,bela,industrijski,da,69217.0,doktorat
43.0,sami,azijska,industrijski,da,37965.0,master
38.0,u braku,crna,,da,69453.0,osnovne studije
36.0,,bela,industrijski,ne,59407.0,master
29.0,sami,,industrijski,da,41206.0,osnovne studije
25.0,u braku,bela,industrijski,da,66023.0,osnovne studije
46.0,u braku,bela,,ne,107013.0,osnovne studije
40.0,u braku,bela,industrijski,da,46044.0,master
34.0,u braku,crna,informacioni,da,87575.0,master
44.0,u braku,bela,informacioni,da,53583.0,osnovne studije
42.0,,crna,,da,,osnovne studije
36.0,u braku,crna,industrijski,da,49416.0,
21.0,u braku,bela,industrijski,da,83258.0,master
39.0,,bela,informacioni,da,85748.0,master
48.0,u braku,bela,informacioni,ne,46227.0,osnovne studije
47.0,udovci,azijska,informacioni,da,62078.0,master
21.0,u braku,bela,informacioni,ne,39791.0,osnovne studije
35.0,u braku,bela,informacioni,da,80889.0,master
35.0,sami,,informacioni,da,71512.0,master
40.0,u braku,bela,informacioni,da,130628.0,osnovne studije
37.0,u braku,druga,informacioni,ne,67255.0,doktorat
50.0,sami,druga,,da,55970.0,osnovne studije
48.0,sami,crna,industrijski,da,61219.0,master
56.0,u braku,crna,industrijski,,62221.0,master
32.0,u braku,crna,industrijski,da,82912.0,osnovne studije
54.0,u braku,,informacioni,da,52723.0,doktorat
23.0,u braku,druga,industrijski,ne,79097.0,osnovne studije
44.0,u braku,bela,informacioni,da,26424.0,master
37.0,u braku,druga,informacioni,ne,48218.0,osnovne studije
33.0,sami,,informacioni,da,45514.0,osnovne studije
52.0,u braku,bela,informacioni,da,81856.0,osnovne studije
50.0,u braku,bela,informacioni,da,40062.0,osnovne studije
41.0,sami,druga,industrijski,da,33635.0,osnovne studije
51.0,u braku,azijska,informacioni,da,56995.0,osnovne studije
45.0,udovci,bela,industrijski,da,55077.0,doktorat
37.0,u braku,bela,industrijski,,78981.0,osnovne studije
30.0,u braku,bela,industrijski,da,34276.0,osnovne studije
36.0,u braku,crna,informacioni,da,,osnovne studije
39.0,u braku,druga,informacioni,ne,95645.0,osnovne studije
30.0,u braku,druga,industrijski,da,46208.0,
25.0,u braku,bela,informacioni,da,51559.0,master
67.0,udovci,crna,industrijski,da,45308.0,osnovne studije
43.0,u braku,crna,industrijski,,43326.0,master
41.0,u braku,bela,industrijski,,77018.0,osnovne studije
33.0,sami,bela,industrijski,da,38468.0,osnovne studije
57.0,sami,,industrijski,da,38018.0,master
32.0,,azijska,industrijski,da,49453.0,master
49.0,u braku,azijska,industrijski,da,51617.0,osnovne studije
37.0,u braku,bela,informacioni,da,55586.0,master
30.0,sami,bela,informacioni,da,78255.0,
39.0,sami,bela,informacioni,da,49768.0,osnovne studije
50.0,sami,bela,industrijski,da,47458.0,osnovne studije
48.0,u braku,bela,industrijski,da,41197.0,osnovne studije
46.0,u braku,bela,industrijski,ne,45990.0,osnovne studije
49.0,,azijska,industrijski,da,53719.0,master
51.0,u braku,bela,industrijski,da,53182.0,osnovne studije
51.0,u braku,bela,industrijski,da,42591.0,osnovne studije
31.0,udovci,bela,informacioni,da,68554.0,osnovne studije
25.0,udovci,bela,informacioni,da,85581.0,osnovne studije
43.0,udovci,bela,industrijski,da,40276.0,master
53.0,u braku,crna,informacioni,ne,53950.0,osnovne studije
48.0,u braku,azijska,industrijski,da,66493.0,master
29.0,u braku,bela,industrijski,ne,54471.0,osnovne studije
38.0,u braku,bela,,da,34980.0,osnovne studije
26.0,u braku,,industrijski,da,43573.0,master
43.0,u braku,druga,informacioni,ne,55088.0,master
45.0,u braku,crna,industrijski,da,57480.0,master
33.0,u braku,bela,industrijski,da,47783.0,master
48.0,u braku,crna,informacioni,ne,59142.0,osnovne studije
37.0,u braku,bela,industrijski,da,25744.0,master
32.0,sami,bela,informacioni,da,,osnovne studije
,,azijska,industrijski,da,62403.0,osnovne studije
46.0,udovci,druga,,da,,osnovne studije
35.0,u braku,,industrijski,ne,50380.0,osnovne studije
48.0,u braku,bela,industrijski,da,68215.0,osnovne studije
27.0,udovci,bela,industrijski,da,56526.0,doktorat
29.0,,crna,industrijski,ne,66889.0,osnovne studije
51.0,u braku,bela,industrijski,da,,osnovne studije
59.0,,druga,informacioni,da,55591.0,master
34.0,,azijska,informacioni,da,49262.0,osnovne studije
33.0,u braku,bela,informacioni,da,79204.0,osnovne studije
39.0,u braku,bela,informacioni,da,30069.0,doktorat
40.0,sami,crna,industrijski,da,37236.0,osnovne studije
42.0,,bela,industrijski,da,48982.0,master
32.0,u braku,crna,,da,53796.0,osnovne studije
43.0,sami,azijska,industrijski,,69157.0,master
50.0,u braku,druga,informacioni,,90988.0,master
50.0,u braku,,industrijski,ne,59017.0,osnovne studije
37.0,u braku,bela,industrijski,da,50539.0,
34.0,udovci,crna,,ne,44930.0,master
,u braku,druga,informacioni,da,71517.0,master
47.0,u braku,bela,informacioni,da,120872.0,master
35.0,u braku,bela,industrijski,da,35605.0,osnovne studije
,udovci,azijska,informacioni,da,44774.0,osnovne studije
40.0,sami,crna,industrijski,da,42493.0,master
,udovci,bela,informacioni,da,117756.0,osnovne studije
30.0,u braku,bela,industrijski,da,39057.0,master
36.0,udovci,bela,informacioni,,79224.0,master
32.0,u braku,druga,industrijski,da,42752.0,osnovne studije
52.0,u braku,crna,,da,,osnovne studije
28.0,sami,druga,informacioni,da,51706.0,
39.0,u braku,azijska,industrijski,da,49212.0,doktorat
34.0,u braku,,informacioni,da,45504.0,osnovne studije
47.0,sami,bela,informacioni,,37308.0,master
38.0,u braku,,informacioni,da,23774.0,osnovne studije
52.0,u braku,,informacioni,da,98403.0,osnovne studije
37.0,u braku,druga,informacioni,da,48177.0,osnovne studije
60.0,sami,crna,industrijski,da,39253.0,doktorat
36.0,sami,bela,informacioni,da,37931.0,osnovne studije
,udovci,bela,informacioni,ne,39924.0,
40.0,sami,,industrijski,da,44068.0,osnovne studije
31.0,sami,bela,industrijski,da,48448.0,osnovne studije
49.0,u braku,bela,industrijski,da,31216.0,osnovne studije
58.0,sami,azijska,informacioni,da,62786.0,master
30.0,u braku,bela,industrijski,,42954.0,master
39.0,u braku,bela,informacioni,da,102066.0,master
31.0,udovci,bela,industrijski,da,42535.0,master
48.0,udovci,azijska,informacioni,ne,,osnovne studije
38.0,,bela,informacioni,da,80721.0,doktorat
25.0,u braku,bela,industrijski,da,112656.0,master
47.0,u braku,bela,industrijski,ne,,osnovne studije
46.0,u braku,bela,industrijski,da,31988.0,doktorat
48.0,u braku,,informacioni,ne,47614.0,osnovne studije
28.0,,bela,informacioni,ne,30357.0,osnovne studije
23.0,u braku,crna,informacioni,da,74923.0,
32.0,u braku,druga,informacioni,da,63592.0,osnovne studije
23.0,u braku,bela,industrijski,da,36370.0,
20.0,u braku,druga,industrijski,ne,40250.0,osnovne studije
20.0,sami,crna,industrijski,da,57742.0,osnovne studije
57.0,u braku,bela,informacioni,da,78777.0,osnovne studije
47.0,udovci,crna,informacioni,ne,33015.0,osnovne studije
36.0,u braku,bela,informacioni,da,40780.0,osnovne studije
21.0,u braku,bela,industrijski,da,46264.0,osnovne studije
49.0,u braku,bela,informacioni,da,46919.0,osnovne studije
45.0,sami,azijska,informacioni,da,55794.0,doktorat
41.0,u braku,azijska,informacioni,ne,38901.0,
24.0,u braku,bela,industrijski,da,48702.0,master
31.0,u braku,druga,informacioni,ne,72364.0,osnovne studije
48.0,u braku,bela,industrijski,da,30363.0,osnovne studije
48.0,u braku,druga,industrijski,ne,45436.0,doktorat
42.0,udovci,bela,informacioni,da,61659.0,master
40.0,u braku,crna,informacioni,ne,,
46.0,udovci,,informacioni,da,48052.0,doktorat
30.0,u braku,bela,informacioni,ne,132995.0,doktorat
38.0,u braku,crna,industrijski,da,49512.0,master
29.0,u braku,crna,industrijski,,24259.0,osnovne studije
48.0,u braku,crna,industrijski,ne,30287.0,osnovne studije
33.0,sami,bela,informacioni,da,67542.0,master
34.0,u braku,bela,industrijski,da,,osnovne studije
51.0,u braku,crna,industrijski,da,66885.0,osnovne studije
35.0,u braku,bela,informacioni,da,37561.0,doktorat
37.0,sami,bela,informacioni,da,66372.0,doktorat
34.0,u braku,bela,industrijski,da,19391.0,osnovne studije
35.0,sami,crna,informacioni,ne,50222.0,doktorat
26.0,sami,crna,informacioni,da,58818.0,master
43.0,udovci,bela,informacioni,da,48471.0,master
37.0,,azijska,informacioni,da,92191.0,doktorat
27.0,u braku,bela,,,36772.0,osnovne studije
45.0,u braku,druga,industrijski,da,61229.0,osnovne studije
55.0,sami,bela,industrijski,da,29123.0,osnovne studije
40.0,u braku,bela,industrijski,da,65730.0,master
32.0,sami,bela,informacioni,da,46469.0,master
46.0,sami,crna,informacioni,ne,59941.0,master
24.0,u braku,azijska,informacioni,ne,62546.0,osnovne studije
38.0,u braku,,informacioni,da,75798.0,master
31.0,sami,bela,informacioni,ne,51638.0,osnovne studije
26.0,sami,crna,informacioni,da,54578.0,master
24.0,udovci,druga,industrijski,da,34288.0,
33.0,u braku,bela,,da,43474.0,master
17.0,udovci,druga,industrijski,da,62112.0,osnovne studije
38.0,u braku,bela,industrijski,ne,61944.0,osnovne studije
48.0,u braku,bela,industrijski,da,60597.0,osnovne studije
45.0,u braku,,informacioni,da,44204.0,osnovne studije
61.0,sami,bela,industrijski,da,46415.0,osnovne studije
,,,industrijski,da,,master
40.0,udovci,crna,informacioni,da,114213.0,osnovne studije
62.0,u braku,bela,industrijski,da,54542.0,osnovne studije
35.0,u braku,bela,,da,46167.0,osnovne studije
19.0,u braku,bela,informacioni,da,71222.0,master
37.0,u braku,bela,informacioni,ne,45414.0,osnovne studije
5.0,udovci,crna,informacioni,da,51365.0,master
43.0,u braku,,industrijski,da,31053.0,osnovne studije
28.0,u braku,bela,informacioni,da,63488.0,osnovne studije
34.0,u braku,bela,industrijski,da,65130.0,master
52.0,u braku,bela,informacioni,da,54964.0,master
34.0,sami,,industrijski,ne,,osnovne studije
52.0,sami,bela,informacioni,ne,37385.0,doktorat
42.0,sami,azijska,industrijski,da,44143.0,osnovne studije
39.0,u braku,bela,informacioni,da,40753.0,osnovne studije
26.0,sami,bela,industrijski,ne,27337.0,doktorat
43.0,udovci,bela,informacioni,da,60203.0,
42.0,u braku,,industrijski,da,32588.0,osnovne studije
26.0,u braku,bela,informacioni,da,,osnovne studije
38.0,u braku,bela,informacioni,da,39824.0,doktorat
33.0,u braku,bela,informacioni,da,46611.0,osnovne studije
,u braku,bela,informacioni,da,44418.0,osnovne studije
37.0,,bela,informacioni,da,36951.0,osnovne studije
30.0,sami,bela,informacioni,da,59732.0,master
29.0,u braku,bela,industrijski,da,51775.0,doktorat
46.0,u braku,bela,industrijski,ne,27113.0,master
34.0,u braku,druga,informacioni,ne,82115.0,osnovne studije
45.0,,bela,informacioni,da,76799.0,doktorat
38.0,u braku,bela,informacioni,da,52833.0,master
35.0,u braku,druga,industrijski,da,37022.0,osnovne studije
27.0,u braku,bela,informacioni,da,51481.0,master
43.0,sami,bela,informacioni,da,44543.0,doktorat
39.0,sami,crna,informacioni,ne,71207.0,osnovne studije
39.0,u braku,crna,,da,66015.0,osnovne studije
,udovci,bela,informacioni,ne,47092.0,osnovne studije
29.0,sami,bela,industrijski,da,70471.0,osnovne studije
48.0,u braku,bela,informacioni,da,55507.0,master
36.0,sami,bela,industrijski,ne,,osnovne studije
18.0,u braku,bela,informacioni,da,46017.0,osnovne studije
38.0,sami,bela,industrijski,da,66545.0,master
,u braku,azijska,industrijski,da,64606.0,
54.0,sami,bela,informacioni,ne,55577.0,master
26.0,u braku,,industrijski,da,24638.0,osnovne studije
42.0,sami,bela,industrijski,da,46702.0,master
40.0,sami,bela,industrijski,da,,master
25.0,sami,azijska,industrijski,da,60432.0,osnovne studije
50.0,sami,bela,informacioni,ne,61741.0,osnovne studije
32.0,u braku,bela,industrijski,ne,34263.0,osnovne studije
27.0,u braku,bela,informacioni,da,70007.0,osnovne studije
39.0,u braku,crna,industrijski,ne,66091.0,master
43.0,u braku,bela,informacioni,da,40989.0,master
43.0,sami,bela,informacioni,da,45271.0,osnovne studije
39.0,u braku,,informacioni,da,61560.0,osnovne studije
48.0,u braku,bela,informacioni,,100456.0,osnovne studije
33.0,u braku,azijska,informacioni,da,63182.0,osnovne studije
33.0,sami,crna,industrijski,da,60451.0,osnovne studije
53.0,u braku,azijska,informacioni,ne,94267.0,osnovne studije
43.0,udovci,bela,informacioni,da,47679.0,master
43.0,u braku,bela,industrijski,da,68486.0,doktorat
54.0,sami,bela,industrijski,da,53238.0,osnovne studije
39.0,u braku,,industrijski,,66977.0,master
29.0,udovci,azijska,informacioni,da,34576.0,osnovne studije
43.0,sami,crna,industrijski,da,67376.0,osnovne studije
44.0,udovci,druga,informacioni,ne,37265.0,master
29.0,sami,crna,industrijski,da,53028.0,master
53.0,u braku,bela,informacioni,ne,82931.0,osnovne studije
58.0,u braku,bela,industrijski,da,44432.0,osnovne studije
30.0,udovci,bela,informacioni,da,37963.0,
56.0,sami,bela,informacioni,da,70342.0,osnovne studije
43.0,u braku,bela,informacioni,da,113375.0,osnovne studije
34.0,sami,bela,industrijski,da,31131.0,osnovne studije
36.0,u braku,bela,industrijski,da,50650.0,master
51.0,udovci,bela,industrijski,da,34211.0,osnovne studije
37.0,udovci,azijska,industrijski,da,65515.0,osnovne studije
46.0,u braku,crna,industrijski,da,65247.0,master
37.0,sami,bela,industrijski,da,88883.0,osnovne studije
32.0,u braku,bela,industrijski,ne,41824.0,
41.0,u braku,bela,,da,52983.0,master
39.0,u braku,azijska,industrijski,da,76395.0,osnovne studije
46.0,sami,druga,industrijski,da,33054.0,master
